Tarih,Açılış Fiyatı,En Yüksek Fiyat,En Düşük Fiyat,Kapanış Fiyatı,Düzeltme Kapanış Fiyatı
"Nov 8, 2024",2713.6,2717.8,2687.3,2691.7,2691.7
"Nov 7, 2024",2662.5,2699.1,2662.5,2698.4,2698.4
"Nov 6, 2024",2734.5,2734.5,2659.4,2667.6,2667.6
"Nov 5, 2024",2743.0,2743.9,2740.3,2740.3,2740.3
"Nov 4, 2024",2736.5,2737.1,2736.1,2736.1,2736.1
"Nov 1, 2024",2745.5,2756.0,2734.2,2738.6,2738.6
"Oct 31, 2024",2787.4,2787.5,2733.5,2738.3,2738.3
"Oct 30, 2024",2774.6,2789.0,2774.6,2788.5,2788.5
"Oct 29, 2024",2768.4,2768.4,2768.4,2768.4,2768.4
"Oct 28, 2024",2736.1,2742.9,2729.5,2742.9,2742.9
"Oct 25, 2024",2725.5,2742.4,2725.5,2740.9,2740.9
"Oct 24, 2024",2729.0,2736.1,2729.0,2734.9,2734.9
"Oct 23, 2024",2742.5,2742.5,2714.2,2714.4,2714.4
"Oct 22, 2024",2731.7,2746.0,2728.6,2744.2,2744.2
"Oct 21, 2024",2721.9,2738.4,2719.5,2723.1,2723.1
"Oct 18, 2024",2713.7,2719.6,2713.7,2713.7,2713.7
"Oct 17, 2024",2677.4,2691.7,2677.2,2691.0,2691.0
"Oct 16, 2024",2674.0,2674.0,2674.0,2674.0,2674.0
"Oct 15, 2024",2661.4,2661.4,2661.4,2661.4,2661.4
"Oct 14, 2024",2655.0,2655.3,2647.8,2647.8,2647.8
"Oct 11, 2024",2638.3,2658.1,2638.2,2657.6,2657.6
"Oct 10, 2024",2602.5,2628.3,2602.5,2620.6,2620.6
"Oct 9, 2024",2603.0,2607.7,2603.0,2606.0,2606.0
"Oct 8, 2024",2639.0,2639.0,2609.3,2615.0,2615.0
"Oct 7, 2024",2648.7,2657.4,2639.0,2644.8,2644.8
"Oct 4, 2024",2656.0,2667.0,2639.0,2645.8,2645.8
"Oct 3, 2024",2642.8,2657.1,2640.0,2657.1,2657.1
"Oct 2, 2024",2650.6,2657.2,2640.0,2647.1,2647.1
"Oct 1, 2024",2631.4,2670.9,2631.4,2667.3,2667.3
"Sep 30, 2024",2660.9,2662.1,2623.2,2636.1,2636.1
"Sep 27, 2024",2670.0,2672.1,2641.7,2644.3,2644.3
"Sep 26, 2024",2662.3,2669.9,2660.8,2669.9,2669.9
"Sep 25, 2024",2656.3,2664.2,2649.3,2659.2,2659.2
"Sep 24, 2024",2636.8,2662.3,2625.5,2651.2,2651.2
"Sep 23, 2024",2626.5,2626.5,2626.5,2626.5,2626.5
"Sep 20, 2024",2590.4,2621.8,2590.4,2619.9,2619.9
"Sep 19, 2024",2566.0,2588.0,2566.0,2588.0,2588.0
"Sep 18, 2024",2570.7,2570.7,2549.2,2570.7,2570.7
"Sep 17, 2024",2581.2,2581.8,2564.3,2564.3,2564.3
"Sep 16, 2024",2580.4,2580.4,2580.4,2580.4,2580.4
"Sep 13, 2024",2568.8,2581.8,2565.0,2581.3,2581.3
"Sep 12, 2024",2529.1,2557.0,2523.4,2551.2,2551.2
"Sep 11, 2024",2525.8,2525.8,2502.3,2512.1,2512.1
"Sep 10, 2024",2512.3,2512.3,2512.3,2512.3,2512.3
"Sep 9, 2024",2491.3,2504.7,2491.3,2501.8,2501.8
"Sep 6, 2024",2510.3,2517.9,2483.7,2493.5,2493.5
"Sep 5, 2024",2493.7,2513.3,2493.4,2511.4,2511.4
"Sep 4, 2024",2490.9,2493.4,2483.5,2493.4,2493.4
"Sep 3, 2024",2501.6,2501.8,2476.3,2489.9,2489.9
"Aug 30, 2024",2519.5,2525.4,2493.8,2493.8,2493.8
"Aug 29, 2024",2504.1,2525.7,2503.9,2525.7,2525.7
"Aug 28, 2024",2501.0,2501.0,2501.0,2501.0,2501.0
"Aug 27, 2024",2515.2,2523.1,2506.9,2516.0,2516.0
"Aug 26, 2024",2509.9,2523.1,2509.1,2517.7,2517.7
"Aug 23, 2024",2486.5,2508.4,2486.5,2508.4,2508.4
"Aug 22, 2024",2504.1,2504.1,2471.1,2478.9,2478.9
"Aug 21, 2024",2511.0,2515.4,2503.9,2508.4,2508.4
"Aug 20, 2024",2503.5,2527.3,2500.7,2511.3,2511.3
"Aug 19, 2024",2508.5,2508.5,2487.2,2501.8,2501.8
"Aug 16, 2024",2453.5,2508.0,2451.4,2498.6,2498.6
"Aug 15, 2024",2451.8,2467.7,2431.2,2453.1,2453.1
"Aug 14, 2024",2468.0,2472.1,2439.4,2439.4,2439.4
"Aug 13, 2024",2461.0,2470.0,2456.5,2466.7,2466.7
"Aug 12, 2024",2432.7,2469.8,2432.0,2462.4,2462.4
"Aug 9, 2024",2422.3,2432.1,2418.5,2432.1,2432.1
"Aug 8, 2024",2384.3,2422.8,2384.3,2422.2,2422.2
"Aug 7, 2024",2392.2,2401.0,2384.5,2390.5,2390.5
"Aug 6, 2024",2414.5,2421.8,2380.0,2389.1,2389.1
"Aug 5, 2024",2442.0,2449.8,2367.4,2401.7,2401.7
"Aug 2, 2024",2444.0,2477.0,2416.0,2425.7,2425.7
"Aug 1, 2024",2446.7,2455.1,2430.4,2435.0,2435.0
"Jul 31, 2024",2407.1,2447.6,2402.8,2426.5,2426.5
"Jul 30, 2024",2380.9,2409.3,2373.8,2405.0,2405.0
"Jul 29, 2024",2377.3,2377.3,2377.3,2377.3,2377.3
"Jul 26, 2024",2368.7,2386.9,2368.7,2380.0,2380.0
"Jul 25, 2024",2365.5,2365.5,2351.9,2351.9,2351.9
"Jul 24, 2024",2421.0,2421.0,2411.6,2413.3,2413.3
"Jul 23, 2024",2395.8,2404.6,2388.7,2404.6,2404.6
"Jul 22, 2024",2402.1,2402.1,2392.0,2392.0,2392.0
"Jul 19, 2024",2418.8,2419.2,2395.5,2395.5,2395.5
"Jul 18, 2024",2466.0,2466.0,2451.8,2451.8,2451.8
"Jul 17, 2024",2472.9,2473.1,2454.8,2454.8,2454.8
"Jul 16, 2024",2427.4,2462.4,2427.4,2462.4,2462.4
"Jul 15, 2024",2430.0,2436.0,2422.9,2422.9,2422.9
"Jul 12, 2024",2399.8,2414.0,2391.3,2414.0,2414.0
"Jul 11, 2024",2378.7,2416.7,2378.7,2415.0,2415.0
"Jul 10, 2024",2366.3,2377.0,2365.8,2372.2,2372.2
"Jul 9, 2024",2363.1,2363.7,2360.1,2360.1,2360.1
"Jul 8, 2024",2381.7,2383.8,2352.8,2355.2,2355.2
"Jul 5, 2024",2354.9,2388.5,2354.9,2388.5,2388.5
"Jul 3, 2024",2330.9,2361.6,2330.9,2359.8,2359.8
"Jul 2, 2024",2330.7,2334.6,2323.0,2323.0,2323.0
"Jul 1, 2024",2323.8,2329.7,2321.7,2327.6,2327.6
"Jun 28, 2024",2325.4,2338.3,2319.0,2327.7,2327.7
"Jun 27, 2024",2296.8,2329.0,2295.0,2324.5,2324.5
"Jun 26, 2024",2307.9,2314.4,2298.0,2299.2,2299.2
"Jun 25, 2024",2324.4,2333.0,2316.6,2316.6,2316.6
"Jun 24, 2024",2323.3,2332.9,2322.7,2330.0,2330.0
"Jun 21, 2024",2331.2,2331.2,2316.4,2316.4,2316.4
"Jun 20, 2024",2328.9,2354.0,2328.3,2353.8,2353.8
"Jun 18, 2024",2311.8,2330.4,2311.8,2330.4,2330.4
"Jun 17, 2024",2320.2,2320.2,2309.6,2312.4,2312.4
"Jun 14, 2024",2307.0,2331.4,2305.8,2331.4,2331.4
"Jun 13, 2024",2309.4,2317.7,2296.2,2300.2,2300.2
"Jun 12, 2024",2314.9,2338.7,2310.3,2336.0,2336.0
"Jun 11, 2024",2300.0,2314.1,2300.0,2307.5,2307.5
"Jun 10, 2024",2290.6,2309.3,2290.5,2307.7,2307.7
"Jun 7, 2024",2379.9,2385.1,2285.4,2305.2,2305.2
"Jun 6, 2024",2355.0,2375.8,2355.0,2370.3,2370.3
"Jun 5, 2024",2326.4,2354.3,2326.2,2354.1,2354.1
"Jun 4, 2024",2347.5,2347.7,2313.9,2325.5,2325.5
"Jun 3, 2024",2322.6,2347.5,2312.0,2346.6,2346.6
"May 31, 2024",2344.1,2354.0,2319.0,2322.9,2322.9
"May 30, 2024",2336.9,2349.5,2320.8,2342.9,2342.9
"May 29, 2024",2340.3,2340.3,2340.3,2340.3,2340.3
"May 28, 2024",2336.9,2359.7,2336.9,2355.2,2355.2
"May 24, 2024",2342.6,2345.4,2332.5,2332.5,2332.5
"May 23, 2024",2371.2,2371.2,2335.0,2335.0,2335.0
"May 22, 2024",2417.5,2417.6,2375.8,2389.2,2389.2
"May 21, 2024",2429.5,2429.5,2421.0,2421.7,2421.7
"May 20, 2024",2415.8,2435.8,2409.7,2433.9,2433.9
"May 17, 2024",2380.7,2415.8,2380.7,2412.2,2412.2
"May 16, 2024",2389.5,2392.2,2380.0,2380.0,2380.0
"May 15, 2024",2361.6,2388.7,2356.0,2388.7,2388.7
"May 14, 2024",2336.0,2358.0,2336.0,2353.4,2353.4
"May 13, 2024",2358.3,2358.3,2336.1,2336.1,2336.1
"May 10, 2024",2367.3,2367.3,2367.3,2367.3,2367.3
"May 9, 2024",2310.7,2339.5,2310.7,2332.1,2332.1
"May 8, 2024",2313.6,2313.6,2313.6,2313.6,2313.6
"May 7, 2024",2324.3,2324.3,2315.2,2315.2,2315.2
"May 6, 2024",2322.8,2325.5,2314.2,2321.6,2321.6
"May 3, 2024",2300.0,2301.0,2277.6,2299.0,2299.0
"May 2, 2024",2321.7,2324.7,2292.3,2299.2,2299.2
"May 1, 2024",2287.7,2327.3,2283.8,2299.9,2299.9
"Apr 30, 2024",2322.5,2322.5,2291.4,2291.4,2291.4
"Apr 29, 2024",2334.8,2345.5,2327.9,2345.4,2345.4
"Apr 26, 2024",2347.9,2347.9,2332.8,2334.8,2334.8
"Apr 25, 2024",2315.0,2329.8,2305.0,2329.8,2329.8
"Apr 24, 2024",2321.3,2328.7,2314.6,2324.5,2324.5
"Apr 23, 2024",2327.7,2330.8,2294.2,2327.7,2327.7
"Apr 22, 2024",2383.3,2383.3,2326.9,2332.2,2332.2
"Apr 19, 2024",2379.3,2399.8,2377.3,2398.4,2398.4
"Apr 18, 2024",2368.4,2384.4,2368.4,2382.3,2382.3
"Apr 17, 2024",2384.2,2391.4,2369.3,2371.7,2371.7
"Apr 16, 2024",2384.0,2390.8,2371.4,2390.8,2390.8
"Apr 15, 2024",2362.1,2384.7,2326.0,2365.8,2365.8
"Apr 12, 2024",2377.3,2429.0,2334.3,2356.2,2356.2
"Apr 11, 2024",2341.5,2376.3,2330.6,2354.8,2354.8
"Apr 10, 2024",2346.6,2358.1,2327.7,2329.6,2329.6
"Apr 9, 2024",2337.8,2364.7,2337.8,2343.5,2343.5
"Apr 8, 2024",2325.6,2341.8,2319.0,2331.7,2331.7
"Apr 5, 2024",2289.2,2328.4,2267.4,2325.7,2325.7
"Apr 4, 2024",2301.7,2302.9,2280.0,2288.8,2288.8
"Apr 3, 2024",2281.7,2298.8,2267.9,2294.4,2294.4
"Apr 2, 2024",2252.0,2279.2,2247.6,2261.0,2261.0
"Apr 1, 2024",2235.7,2264.2,2230.0,2236.5,2236.5
"Mar 28, 2024",2193.6,2234.1,2187.1,2217.4,2217.4
"Mar 27, 2024",2179.4,2196.2,2172.1,2190.6,2190.6
"Mar 26, 2024",2182.7,2182.7,2175.6,2175.6,2175.6
"Mar 25, 2024",2166.2,2179.4,2166.2,2174.8,2174.8
"Mar 22, 2024",2179.2,2179.6,2157.5,2158.1,2158.1
"Mar 21, 2024",2207.0,2211.6,2182.4,2182.4,2182.4
